trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
19 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	6.5 	0
20 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	9 	0
21 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	1.5 	0
22 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	6.5 	0
23 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	1.5 	0
24 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	9 	0
25 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	9 	0
26 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	1.5 	0
27 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	9 	0
28 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	6.5 	0
29 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
30 	12 	10 	B 	G 	0.0 	14 	G 	B 	0.0 	[-1, 0] 	3 	0
31 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	9 	0
32 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	1.5 	0
33 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	9 	0
34 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	1.5 	0
35 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	9 	0
36 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	3 	0
37 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	3 	0
38 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	3 	0
39 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	6.5 	0
40 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	1.5 	0
41 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	1.5 	0
42 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	6.5 	0
43 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	3 	0
44 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	3 	0
45 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	9 	0
46 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	1.5 	0
47 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	6.5 	0
48 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	3 	0
49 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	6.5 	0
50 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	6.5 	0
51 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	3 	0
52 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	3 	0
53 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	1.5 	0
54 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	6.5 	0
55 	12 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	3 	0
56 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	6.5 	0
57 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	1.5 	0
58 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	6.5 	0
59 	12 	10 	G 	B 	0.0 	9 	B 	G 	0.0 	[-1, 0] 	1.5 	0
60 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	1.5 	0
61 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	3 	0
62 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	9 	0
63 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	3 	0
64 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	6.5 	0
65 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	6.5 	0
66 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	6.5 	0
67 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	3 	0
68 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	1.5 	0
69 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	9 	0
70 	12 	10 	B 	G 	0.0 	14 	G 	B 	0.0 	[1, 0] 	9 	0
71 	12 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	1.5 	0
72 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	1.5 	0
73 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	1.5 	0
74 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	1.5 	0
