trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
46,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",1.5,0
47,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",3,0
48,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",6.5,0
49,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",6.5,0
50,23,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",9,0
51,23,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",6.5,0
52,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",1.5,0
53,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",1.5,0
54,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",6.5,0
55,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",9,0
56,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",6.5,0
57,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",6.5,0
58,23,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",9,0
59,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",9,0
60,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",1.5,0
61,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",1.5,0
62,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",3,0
63,23,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",1.5,0
64,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",3,0
65,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",9,0
66,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",9,0
67,23,10,B ,B ,1,11,G ,G ,1,"[1, 0] ",1.5,0
68,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",3,0
69,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",9,0
70,23,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",6.5,0
71,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",9,0
72,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",1.5,0
73,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",3,0
74,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",9,0
75,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",1.5,0
76,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",6.5,0
