trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
244,pilot ,10,1,2,0,11,2,1,0,"[-1, 0] ",3,0
245,pilot ,20,1,2,0,22,2,1,0,"[1, 0] ",6,0
246,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",3,0
247,pilot ,10,1,2,0,13,2,1,0,"[-1, 0] ",9,0
248,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",6,0
249,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",6,1
250,pilot ,20,1,1,1,22,2,2,1,"[-1, 0] ",3,0
251,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",3,0
252,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",3,0
253,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",9,0
254,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",9,0
255,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",9,0
256,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",9,1
257,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",3,0
258,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",6,0
259,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",9,0
260,pilot ,10,1,2,0,13,2,1,0,"[-1, 0] ",9,0
261,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",3,0
262,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",6,0
263,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",6,0
264,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",6,0
265,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",6,0
266,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",6,0
267,pilot ,20,1,2,0,21,2,1,0,"[-1, 0] ",9,0
268,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",3,0
269,pilot ,20,1,2,0,21,2,1,0,"[-1, 0] ",3,0
270,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",3,0
271,pilot ,20,1,2,0,22,2,1,0,"[-1, 0] ",6,0
272,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",9,0
273,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",3,0
274,pilot ,10,1,2,0,12,2,1,0,"[-1, 0] ",9,0
275,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",9,0
276,pilot ,20,1,1,1,21,2,2,1,"[1, 0] ",6,0
277,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",3,0
278,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",3,0
279,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",6,0
280,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",9,0
281,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",9,0
282,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",3,0
283,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",9,0
284,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",3,0
285,pilot ,20,1,2,0,21,2,1,0,"[-1, 0] ",6,0
286,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",9,0
287,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",6,0
