trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
120 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
121 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
122 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
123 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
124 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
125 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	2
126 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	1
127 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
128 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
129 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	7
130 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
131 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
132 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
133 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
134 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	2
135 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
136 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
137 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	4
138 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
139 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
140 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
141 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
142 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
143 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
144 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
145 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
146 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
147 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
148 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
149 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	8
150 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
151 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
152 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
153 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
154 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
155 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
156 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
157 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
158 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	6
159 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
160 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	2
161 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
162 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
163 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
164 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
165 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
166 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
167 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
168 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
169 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
170 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
171 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
172 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
173 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	3
174 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
175 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
176 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
177 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
178 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
179 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
180 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	11
181 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
182 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
