experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	ltrSpatialPos1	ltrEccentricity1	timingBlips
RSVP_central_cue_between_letter_presentation 	150 	16 	 T1 	 0.0 	22 	I 	M 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	151 	16 	 T1 	 0.0 	10 	K 	S 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	152 	16 	 T1 	 0.0 	18 	J 	J 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	153 	16 	 T1 	 0.0 	22 	B 	B 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	154 	16 	 T1 	 0.0 	22 	O 	P 	0.0 	-3.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	155 	16 	 T1 	 0.0 	22 	M 	T 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	156 	16 	 T1 	 0.0 	22 	R 	P 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	157 	16 	 T1 	 0.0 	10 	S 	V 	0.0 	-5.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	158 	16 	 T1 	 0.0 	10 	I 	S 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	159 	16 	 T1 	 0.0 	22 	R 	R 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	160 	16 	 T1 	 0.0 	6 	W 	A 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	161 	16 	 T1 	 0.0 	10 	G 	M 	0.0 	-9.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	162 	16 	 T1 	 0.0 	14 	P 	T 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	163 	16 	 T1 	 0.0 	6 	Y 	S 	0.0 	2.0 	[-1, 0] 	10.0 	1
RSVP_central_cue_between_letter_presentation 	164 	16 	 T1 	 0.0 	14 	V 	V 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	165 	16 	 T1 	 0.0 	10 	Y 	T 	0.0 	3.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	166 	16 	 T1 	 0.0 	6 	O 	P 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	167 	16 	 T1 	 0.0 	6 	Y 	N 	0.0 	3.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	168 	16 	 T1 	 0.0 	14 	Z 	Z 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	169 	16 	 T1 	 0.0 	6 	K 	A 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	170 	16 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	171 	16 	 T1 	 0.0 	22 	W 	M 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	172 	16 	 T1 	 0.0 	6 	W 	T 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	173 	16 	 T1 	 0.0 	6 	Z 	Z 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	174 	16 	 T1 	 0.0 	22 	J 	M 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	175 	16 	 T1 	 0.0 	6 	Y 	P 	0.0 	16.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	176 	16 	 T1 	 0.0 	22 	L 	J 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	177 	16 	 T1 	 0.0 	18 	P 	S 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	178 	16 	 T1 	 0.0 	10 	N 	A 	0.0 	-2.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	179 	16 	 T1 	 0.0 	14 	Z 	Z 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	180 	16 	 T1 	 0.0 	6 	L 	P 	0.0 	-6.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	181 	16 	 T1 	 0.0 	22 	R 	R 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	182 	16 	 T1 	 0.0 	22 	O 	R 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	183 	16 	 T1 	 0.0 	14 	Q 	R 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	184 	16 	 T1 	 0.0 	6 	B 	R 	0.0 	-2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	185 	16 	 T1 	 0.0 	10 	C 	A 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	186 	16 	 T1 	 0.0 	10 	W 	Z 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	187 	16 	 T1 	 0.0 	10 	H 	N 	0.0 	-6.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	188 	16 	 T1 	 0.0 	6 	T 	Z 	0.0 	-2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	189 	16 	 T1 	 0.0 	10 	U 	B 	0.0 	2.0 	[1, 0] 	3.0 	0
