experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlipsmain	0 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	10 	3 	1 	0.0 	-1009.0 	[-2, 0] 	0
main	124 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	13 	1 	1 	1.0 	-1012.0 	[2, 0] 	0
main	125 	6 	 T1T2 	 0.0 	14 	0 	0 	1.0 	-1013.0 	16 	5 	6 	0.0 	-1015.0 	[2, 0] 	0
main	126 	6 	 T1T2 	 0.0 	14 	4 	1 	0.0 	-1013.0 	24 	1 	1 	1.0 	-1023.0 	[2, 0] 	0
main	127 	6 	 T1T2 	 0.0 	14 	8 	8 	1.0 	-1013.0 	22 	3 	3 	1.0 	-1021.0 	[2, 0] 	0
main	128 	6 	 T1T2 	 0.0 	14 	7 	5 	0.0 	-1013.0 	15 	5 	4 	0.0 	-1014.0 	[2, 0] 	0
main	129 	6 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	19 	7 	7 	1.0 	-1018.0 	[2, 0] 	0
main	130 	6 	 T1T2 	 0.0 	6 	5 	5 	1.0 	-1005.0 	8 	2 	1 	0.0 	-1007.0 	[2, 0] 	0
main	131 	6 	 T1T2 	 0.0 	6 	5 	7 	0.0 	-1005.0 	16 	6 	0 	0.0 	-1015.0 	[2, 0] 	1
main	132 	6 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	14 	8 	8 	1.0 	-1013.0 	[2, 0] 	0
main	133 	6 	 T1T2 	 0.0 	6 	1 	7 	0.0 	-1005.0 	7 	7 	1 	0.0 	-1006.0 	[2, 0] 	0
main	134 	6 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	11 	1 	1 	1.0 	-1010.0 	[2, 0] 	0
main	135 	6 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	12 	1 	1 	1.0 	-1011.0 	[2, 0] 	0
main	136 	6 	 T1T2 	 0.0 	10 	4 	3 	0.0 	-1009.0 	20 	9 	9 	1.0 	-1019.0 	[2, 0] 	0
main	137 	6 	 T1T2 	 0.0 	10 	6 	6 	1.0 	-1009.0 	18 	2 	2 	1.0 	-1017.0 	[2, 0] 	0
main	138 	6 	 T1T2 	 0.0 	10 	2 	5 	0.0 	-1009.0 	11 	5 	2 	0.0 	-1010.0 	[2, 0] 	0
main	139 	6 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	15 	8 	8 	1.0 	-1014.0 	[2, 0] 	0
main	140 	6 	 T1T2 	 0.0 	8 	5 	5 	1.0 	-1007.0 	10 	4 	4 	1.0 	-1009.0 	[6, 0] 	0
main	141 	6 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	18 	6 	6 	1.0 	-1017.0 	[6, 0] 	0
main	142 	6 	 T1T2 	 0.0 	8 	9 	9 	1.0 	-1007.0 	16 	3 	3 	1.0 	-1015.0 	[6, 0] 	0
main	143 	6 	 T1T2 	 0.0 	8 	0 	0 	1.0 	-1007.0 	9 	5 	5 	1.0 	-1008.0 	[6, 0] 	0
main	144 	6 	 T1T2 	 0.0 	8 	2 	4 	0.0 	-1007.0 	13 	0 	5 	0.0 	-1012.0 	[6, 0] 	0
main	145 	6 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	16 	4 	4 	1.0 	-1015.0 	[6, 0] 	0
main	146 	6 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	24 	0 	6 	0.0 	-1023.0 	[6, 0] 	0
main	147 	6 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	22 	8 	2 	0.0 	-1021.0 	[6, 0] 	0
main	148 	6 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	15 	9 	9 	1.0 	-1014.0 	[6, 0] 	0
main	149 	6 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	19 	8 	8 	1.0 	-1018.0 	[6, 0] 	0
main	150 	6 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	8 	6 	6 	1.0 	-1007.0 	[6, 0] 	0
main	151 	6 	 T1T2 	 0.0 	6 	8 	4 	0.0 	-1005.0 	16 	1 	1 	1.0 	-1015.0 	[6, 0] 	0
main	152 	6 	 T1T2 	 0.0 	6 	8 	8 	1.0 	-1005.0 	14 	2 	2 	1.0 	-1013.0 	[6, 0] 	0
main	153 	6 	 T1T2 	 0.0 	6 	4 	8 	0.0 	-1005.0 	7 	3 	3 	1.0 	-1006.0 	[6, 0] 	0
main	154 	6 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	11 	2 	2 	1.0 	-1010.0 	[6, 0] 	0
main	155 	6 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	12 	4 	4 	1.0 	-1011.0 	[6, 0] 	0
main	156 	6 	 T1T2 	 0.0 	10 	4 	4 	1.0 	-1009.0 	20 	9 	9 	1.0 	-1019.0 	[6, 0] 	0
main	157 	6 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	18 	9 	9 	1.0 	-1017.0 	[6, 0] 	0
main	158 	6 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	11 	4 	4 	1.0 	-1010.0 	[6, 0] 	0
main	159 	6 	 T1T2 	 0.0 	10 	4 	2 	0.0 	-1009.0 	15 	2 	8 	0.0 	-1014.0 	[6, 0] 	0
main	160 	6 	 T1T2 	 0.0 	8 	6 	6 	1.0 	-1007.0 	10 	1 	1 	1.0 	-1009.0 	[-2, 0] 	0
main	161 	6 	 T1T2 	 0.0 	8 	4 	6 	0.0 	-1007.0 	18 	7 	1 	0.0 	-1017.0 	[-2, 0] 	0
main	162 	6 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	16 	5 	5 	1.0 	-1015.0 	[-2, 0] 	0
main	163 	6 	 T1T2 	 0.0 	8 	7 	9 	0.0 	-1007.0 	9 	9 	7 	0.0 	-1008.0 	[-2, 0] 	0
main	164 	6 	 T1T2 	 0.0 	8 	9 	9 	1.0 	-1007.0 	13 	0 	7 	0.0 	-1012.0 	[-2, 0] 	0
main	165 	6 	 T1T2 	 0.0 	14 	6 	6 	1.0 	-1013.0 	16 	0 	2 	0.0 	-1015.0 	[-2, 0] 	0
main	166 	6 	 T1T2 	 0.0 	14 	7 	7 	1.0 	-1013.0 	24 	3 	3 	1.0 	-1023.0 	[-2, 0] 	0
main	167 	6 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	22 	5 	5 	1.0 	-1021.0 	[-2, 0] 	0
main	168 	6 	 T1T2 	 0.0 	14 	6 	6 	1.0 	-1013.0 	15 	4 	4 	1.0 	-1014.0 	[-2, 0] 	0
main	169 	6 	 T1T2 	 0.0 	14 	3 	7 	0.0 	-1013.0 	19 	7 	3 	0.0 	-1018.0 	[-2, 0] 	0
main	170 	6 	 T1T2 	 0.0 	6 	2 	2 	1.0 	-1005.0 	8 	1 	1 	1.0 	-1007.0 	[-2, 0] 	0
main	171 	6 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	16 	3 	3 	1.0 	-1015.0 	[-2, 0] 	0
main	172 	6 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	14 	2 	2 	1.0 	-1013.0 	[-2, 0] 	0
main	173 	6 	 T1T2 	 0.0 	6 	3 	5 	0.0 	-1005.0 	7 	5 	2 	0.0 	-1006.0 	[-2, 0] 	0
main	174 	6 	 T1T2 	 0.0 	6 	7 	5 	0.0 	-1005.0 	11 	5 	7 	0.0 	-1010.0 	[-2, 0] 	0
main	175 	6 	 T1T2 	 0.0 	10 	7 	2 	0.0 	-1009.0 	12 	2 	7 	0.0 	-1011.0 	[-2, 0] 	0
main	176 	6 	 T1T2 	 0.0 	10 	9 	2 	0.0 	-1009.0 	20 	6 	6 	1.0 	-1019.0 	[-2, 0] 	0
main	177 	6 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	18 	3 	3 	1.0 	-1017.0 	[-2, 0] 	0
main	178 	6 	 T1T2 	 0.0 	10 	7 	2 	0.0 	-1009.0 	11 	2 	5 	0.0 	-1010.0 	[-2, 0] 	0
main	179 	6 	 T1T2 	 0.0 	10 	3 	4 	0.0 	-1009.0 	15 	9 	9 	1.0 	-1014.0 	[-2, 0] 	0
main	180 	6 	 T1T2 	 0.0 	8 	5 	2 	0.0 	-1007.0 	10 	6 	5 	0.0 	-1009.0 	[-6, 0] 	0
main	181 	6 	 T1T2 	 0.0 	8 	5 	3 	0.0 	-1007.0 	18 	3 	6 	0.0 	-1017.0 	[-6, 0] 	0
