experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,answerPos1,answer1,response1,correct1,responsePosRelative1,spatialPos,timingBlips
main,123,2, T1T2 ,0,8,3,3,1,-1007,13,9,9,1,-1012,"[6, 0] ",0
main,124,2, T1T2 ,0,8,2,2,1,-1007,16,0,0,1,-1015,"[6, 0] ",0
main,125,2, T1T2 ,0,6,8,8,1,-1005,16,4,4,1,-1015,"[6, 0] ",0
main,126,2, T1T2 ,0,6,3,3,1,-1005,7,8,8,1,-1006,"[6, 0] ",1
main,127,2, T1T2 ,0,6,1,1,1,-1005,8,6,6,1,-1007,"[6, 0] ",0
main,128,2, T1T2 ,0,6,3,3,1,-1005,11,0,0,1,-1010,"[6, 0] ",0
main,129,2, T1T2 ,0,6,1,1,1,-1005,14,9,9,1,-1013,"[6, 0] ",0
main,130,2, T1T2 ,0,14,7,7,1,-1013,24,6,1,0,-1023,"[6, 0] ",0
main,131,2, T1T2 ,0,14,5,2,0,-1013,15,2,7,0,-1014,"[6, 0] ",0
main,132,2, T1T2 ,0,14,8,8,1,-1013,16,4,3,0,-1015,"[6, 0] ",0
main,133,2, T1T2 ,0,14,2,0,0,-1013,19,7,2,0,-1018,"[6, 0] ",0
main,134,2, T1T2 ,0,14,0,0,1,-1013,22,1,1,1,-1021,"[6, 0] ",0
main,135,2, T1T2 ,0,10,1,1,1,-1009,20,4,4,1,-1019,"[6, 0] ",0
main,136,2, T1T2 ,0,10,7,2,0,-1009,11,2,7,0,-1010,"[6, 0] ",0
main,137,2, T1T2 ,0,10,5,4,0,-1009,12,1,5,0,-1011,"[6, 0] ",0
main,138,2, T1T2 ,0,10,2,2,1,-1009,15,0,3,0,-1014,"[6, 0] ",0
main,139,2, T1T2 ,0,10,8,4,0,-1009,18,5,5,1,-1017,"[6, 0] ",0
main,140,2, T1T2 ,0,8,1,1,1,-1007,18,5,5,1,-1017,"[-6, 0] ",0
main,141,2, T1T2 ,0,8,1,1,1,-1007,9,2,2,1,-1008,"[-6, 0] ",0
main,142,2, T1T2 ,0,8,2,2,1,-1007,10,8,3,0,-1009,"[-6, 0] ",0
main,143,2, T1T2 ,0,8,6,1,0,-1007,13,7,6,0,-1012,"[-6, 0] ",1
main,144,2, T1T2 ,0,8,3,3,1,-1007,16,5,5,1,-1015,"[-6, 0] ",0
main,145,2, T1T2 ,0,6,3,3,1,-1005,16,2,2,1,-1015,"[-6, 0] ",0
main,146,2, T1T2 ,0,6,9,3,0,-1005,7,3,9,0,-1006,"[-6, 0] ",0
main,147,2, T1T2 ,0,6,0,4,0,-1005,8,6,5,0,-1007,"[-6, 0] ",0
main,148,2, T1T2 ,0,6,2,2,1,-1005,11,5,5,1,-1010,"[-6, 0] ",0
main,149,2, T1T2 ,0,6,2,3,0,-1005,14,3,0,0,-1013,"[-6, 0] ",0
main,150,2, T1T2 ,0,14,2,2,1,-1013,24,8,8,1,-1023,"[-6, 0] ",0
main,151,2, T1T2 ,0,14,1,1,1,-1013,15,4,4,1,-1014,"[-6, 0] ",0
main,152,2, T1T2 ,0,14,0,4,0,-1013,16,9,0,0,-1015,"[-6, 0] ",0
main,153,2, T1T2 ,0,14,8,8,1,-1013,19,1,1,1,-1018,"[-6, 0] ",0
main,154,2, T1T2 ,0,14,5,5,1,-1013,22,3,3,1,-1021,"[-6, 0] ",0
main,155,2, T1T2 ,0,10,0,0,1,-1009,20,3,3,1,-1019,"[-6, 0] ",0
main,156,2, T1T2 ,0,10,2,2,1,-1009,11,6,6,1,-1010,"[-6, 0] ",0
main,157,2, T1T2 ,0,10,3,3,1,-1009,12,1,1,1,-1011,"[-6, 0] ",0
main,158,2, T1T2 ,0,10,0,0,1,-1009,15,8,6,0,-1014,"[-6, 0] ",0
main,159,2, T1T2 ,0,10,8,8,1,-1009,18,2,2,1,-1017,"[-6, 0] ",0
main,160,2, T1T2 ,0,8,6,8,0,-1007,18,1,3,0,-1017,"[2, 0] ",0
main,161,2, T1T2 ,0,8,8,8,1,-1007,9,7,7,1,-1008,"[2, 0] ",0
main,162,2, T1T2 ,0,8,3,3,1,-1007,10,8,8,1,-1009,"[2, 0] ",0
main,163,2, T1T2 ,0,8,2,2,1,-1007,13,6,6,1,-1012,"[2, 0] ",0
main,164,2, T1T2 ,0,8,2,2,1,-1007,16,3,3,1,-1015,"[2, 0] ",0
main,165,2, T1T2 ,0,6,2,2,1,-1005,16,0,0,1,-1015,"[2, 0] ",0
main,166,2, T1T2 ,0,6,4,1,0,-1005,7,7,4,0,-1006,"[2, 0] ",1
main,167,2, T1T2 ,0,6,2,2,1,-1005,8,7,7,1,-1007,"[2, 0] ",0
main,168,2, T1T2 ,0,6,6,1,0,-1005,11,7,6,0,-1010,"[2, 0] ",0
main,169,2, T1T2 ,0,6,2,2,1,-1005,14,8,8,1,-1013,"[2, 0] ",0
main,170,2, T1T2 ,0,14,1,1,1,-1013,24,8,8,1,-1023,"[2, 0] ",0
main,171,2, T1T2 ,0,14,2,2,1,-1013,15,4,4,1,-1014,"[2, 0] ",0
main,172,2, T1T2 ,0,14,6,3,0,-1013,16,2,6,0,-1015,"[2, 0] ",0
main,173,2, T1T2 ,0,14,6,6,1,-1013,19,3,3,1,-1018,"[2, 0] ",0
main,174,2, T1T2 ,0,14,0,8,0,-1013,22,8,7,0,-1021,"[2, 0] ",0
main,175,2, T1T2 ,0,10,1,1,1,-1009,20,0,7,0,-1019,"[2, 0] ",0
main,176,2, T1T2 ,0,10,2,0,0,-1009,11,0,2,0,-1010,"[2, 0] ",0
main,177,2, T1T2 ,0,10,0,0,1,-1009,12,4,4,1,-1011,"[2, 0] ",1
main,178,2, T1T2 ,0,10,1,1,1,-1009,15,6,6,1,-1014,"[2, 0] ",0
main,179,2, T1T2 ,0,10,2,2,1,-1009,18,5,5,1,-1017,"[2, 0] ",0
main,180,2, T1T2 ,0,8,7,7,1,-1007,18,9,9,1,-1017,"[-2, 0] ",0
main,181,2, T1T2 ,0,8,6,6,1,-1007,9,1,1,1,-1008,"[-2, 0] ",0
main,182,2, T1T2 ,0,8,2,2,1,-1007,10,3,7,0,-1009,"[-2, 0] ",0
main,183,2, T1T2 ,0,8,4,4,1,-1007,13,0,0,1,-1012,"[-2, 0] ",0
