experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	
main	98 	13 	 T1T2 	 0.0 	10 	7 	1 	0.0 	-1009.0 	15 	2 	7 	0.0 	-1014.0 	[6, 0] 	0
main	99 	13 	 T1T2 	 0.0 	10 	0 	0 	1.0 	-1009.0 	18 	5 	7 	0.0 	-1017.0 	[6, 0] 	0
main	100 	13 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	24 	9 	9 	1.0 	-1023.0 	[-2, 0] 	0
main	101 	13 	 T1T2 	 0.0 	14 	9 	9 	1.0 	-1013.0 	16 	8 	2 	0.0 	-1015.0 	[-2, 0] 	0
main	102 	13 	 T1T2 	 0.0 	14 	9 	7 	0.0 	-1013.0 	15 	7 	3 	0.0 	-1014.0 	[-2, 0] 	0
main	103 	13 	 T1T2 	 0.0 	14 	0 	0 	1.0 	-1013.0 	19 	2 	2 	1.0 	-1018.0 	[-2, 0] 	0
main	104 	13 	 T1T2 	 0.0 	14 	9 	9 	1.0 	-1013.0 	22 	5 	5 	1.0 	-1021.0 	[-2, 0] 	0
main	105 	13 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	18 	0 	0 	1.0 	-1017.0 	[-2, 0] 	0
main	106 	13 	 T1T2 	 0.0 	8 	4 	4 	1.0 	-1007.0 	10 	6 	2 	0.0 	-1009.0 	[-2, 0] 	0
main	107 	13 	 T1T2 	 0.0 	8 	2 	9 	0.0 	-1007.0 	9 	9 	2 	0.0 	-1008.0 	[-2, 0] 	0
main	108 	13 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	13 	9 	9 	1.0 	-1012.0 	[-2, 0] 	0
main	109 	13 	 T1T2 	 0.0 	8 	9 	9 	1.0 	-1007.0 	16 	3 	5 	0.0 	-1015.0 	[-2, 0] 	0
main	110 	13 	 T1T2 	 0.0 	6 	5 	5 	1.0 	-1005.0 	16 	6 	6 	1.0 	-1015.0 	[-2, 0] 	0
main	111 	13 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	8 	5 	5 	1.0 	-1007.0 	[-2, 0] 	0
main	112 	13 	 T1T2 	 0.0 	6 	4 	2 	0.0 	-1005.0 	7 	2 	4 	0.0 	-1006.0 	[-2, 0] 	0
main	113 	13 	 T1T2 	 0.0 	6 	5 	5 	1.0 	-1005.0 	11 	2 	2 	1.0 	-1010.0 	[-2, 0] 	0
main	114 	13 	 T1T2 	 0.0 	6 	2 	2 	1.0 	-1005.0 	14 	8 	8 	1.0 	-1013.0 	[-2, 0] 	6
main	115 	13 	 T1T2 	 0.0 	10 	5 	5 	1.0 	-1009.0 	20 	3 	3 	1.0 	-1019.0 	[-2, 0] 	1
main	116 	13 	 T1T2 	 0.0 	10 	0 	5 	0.0 	-1009.0 	12 	5 	6 	0.0 	-1011.0 	[-2, 0] 	0
main	117 	13 	 T1T2 	 0.0 	10 	8 	6 	0.0 	-1009.0 	11 	6 	8 	0.0 	-1010.0 	[-2, 0] 	0
main	118 	13 	 T1T2 	 0.0 	10 	0 	0 	1.0 	-1009.0 	15 	4 	4 	1.0 	-1014.0 	[-2, 0] 	0
main	119 	13 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	18 	6 	6 	1.0 	-1017.0 	[-2, 0] 	0
main	120 	13 	 T1T2 	 0.0 	14 	7 	0 	0.0 	-1013.0 	24 	5 	7 	0.0 	-1023.0 	[-6, 0] 	0
main	121 	13 	 T1T2 	 0.0 	14 	4 	0 	0.0 	-1013.0 	16 	6 	6 	1.0 	-1015.0 	[-6, 0] 	0
main	122 	13 	 T1T2 	 0.0 	14 	3 	1 	0.0 	-1013.0 	15 	1 	8 	0.0 	-1014.0 	[-6, 0] 	0
main	123 	13 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	19 	8 	8 	1.0 	-1018.0 	[-6, 0] 	0
main	124 	13 	 T1T2 	 0.0 	14 	6 	6 	1.0 	-1013.0 	22 	9 	4 	0.0 	-1021.0 	[-6, 0] 	0
main	125 	13 	 T1T2 	 0.0 	8 	4 	7 	0.0 	-1007.0 	18 	7 	0 	0.0 	-1017.0 	[-6, 0] 	0
main	126 	13 	 T1T2 	 0.0 	8 	9 	0 	0.0 	-1007.0 	10 	1 	6 	0.0 	-1009.0 	[-6, 0] 	0
main	127 	13 	 T1T2 	 0.0 	8 	1 	2 	0.0 	-1007.0 	9 	2 	4 	0.0 	-1008.0 	[-6, 0] 	0
main	128 	13 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	13 	4 	4 	1.0 	-1012.0 	[-6, 0] 	0
main	129 	13 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	16 	2 	4 	0.0 	-1015.0 	[-6, 0] 	0
main	130 	13 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	16 	7 	7 	1.0 	-1015.0 	[-6, 0] 	0
main	131 	13 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	8 	5 	9 	0.0 	-1007.0 	[-6, 0] 	0
main	132 	13 	 T1T2 	 0.0 	6 	3 	2 	0.0 	-1005.0 	7 	2 	7 	0.0 	-1006.0 	[-6, 0] 	0
main	133 	13 	 T1T2 	 0.0 	6 	2 	2 	1.0 	-1005.0 	11 	4 	4 	1.0 	-1010.0 	[-6, 0] 	0
main	134 	13 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	14 	6 	3 	0.0 	-1013.0 	[-6, 0] 	0
main	135 	13 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	20 	1 	1 	1.0 	-1019.0 	[-6, 0] 	0
main	136 	13 	 T1T2 	 0.0 	10 	9 	3 	0.0 	-1009.0 	12 	3 	9 	0.0 	-1011.0 	[-6, 0] 	0
main	137 	13 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	11 	8 	8 	1.0 	-1010.0 	[-6, 0] 	0
main	138 	13 	 T1T2 	 0.0 	10 	8 	1 	0.0 	-1009.0 	15 	2 	0 	0.0 	-1014.0 	[-6, 0] 	0
main	139 	13 	 T1T2 	 0.0 	10 	6 	2 	0.0 	-1009.0 	18 	5 	0 	0.0 	-1017.0 	[-6, 0] 	0
main	140 	13 	 T1T2 	 0.0 	14 	0 	3 	0.0 	-1013.0 	24 	1 	7 	0.0 	-1023.0 	[2, 0] 	0
main	141 	13 	 T1T2 	 0.0 	14 	8 	8 	1.0 	-1013.0 	16 	6 	6 	1.0 	-1015.0 	[2, 0] 	0
main	142 	13 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	15 	3 	3 	1.0 	-1014.0 	[2, 0] 	0
main	143 	13 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	19 	2 	5 	0.0 	-1018.0 	[2, 0] 	0
main	144 	13 	 T1T2 	 0.0 	14 	0 	0 	1.0 	-1013.0 	22 	3 	7 	0.0 	-1021.0 	[2, 0] 	0
main	145 	13 	 T1T2 	 0.0 	8 	8 	0 	0.0 	-1007.0 	18 	5 	5 	1.0 	-1017.0 	[2, 0] 	0
main	146 	13 	 T1T2 	 0.0 	8 	0 	6 	0.0 	-1007.0 	10 	1 	2 	0.0 	-1009.0 	[2, 0] 	0
main	147 	13 	 T1T2 	 0.0 	8 	5 	7 	0.0 	-1007.0 	9 	9 	2 	0.0 	-1008.0 	[2, 0] 	0
main	148 	13 	 T1T2 	 0.0 	8 	7 	7 	1.0 	-1007.0 	13 	2 	3 	0.0 	-1012.0 	[2, 0] 	0
main	149 	13 	 T1T2 	 0.0 	8 	2 	2 	1.0 	-1007.0 	16 	7 	9 	0.0 	-1015.0 	[2, 0] 	0
main	150 	13 	 T1T2 	 0.0 	6 	5 	2 	0.0 	-1005.0 	16 	9 	9 	1.0 	-1015.0 	[2, 0] 	0
main	151 	13 	 T1T2 	 0.0 	6 	6 	0 	0.0 	-1005.0 	8 	5 	5 	1.0 	-1007.0 	[2, 0] 	0
main	152 	13 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	7 	0 	4 	0.0 	-1006.0 	[2, 0] 	0
main	153 	13 	 T1T2 	 0.0 	6 	3 	6 	0.0 	-1005.0 	11 	6 	1 	0.0 	-1010.0 	[2, 0] 	0
main	154 	13 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	14 	0 	4 	0.0 	-1013.0 	[2, 0] 	0
main	155 	13 	 T1T2 	 0.0 	10 	5 	5 	1.0 	-1009.0 	20 	0 	4 	0.0 	-1019.0 	[2, 0] 	0
main	156 	13 	 T1T2 	 0.0 	10 	6 	1 	0.0 	-1009.0 	12 	1 	0 	0.0 	-1011.0 	[2, 0] 	0
main	157 	13 	 T1T2 	 0.0 	10 	3 	6 	0.0 	-1009.0 	11 	0 	7 	0.0 	-1010.0 	[2, 0] 	0
main	158 	13 	 T1T2 	 0.0 	10 	7 	7 	1.0 	-1009.0 	15 	0 	1 	0.0 	-1014.0 	[2, 0] 	0
main	159 	13 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	18 	4 	1 	0.0 	-1017.0 	[2, 0] 	0
main	160 	13 	 T1T2 	 0.0 	14 	7 	7 	1.0 	-1013.0 	24 	0 	6 	0.0 	-1023.0 	[6, 0] 	0
main	161 	13 	 T1T2 	 0.0 	14 	0 	8 	0.0 	-1013.0 	16 	8 	6 	0.0 	-1015.0 	[6, 0] 	0
main	162 	13 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	15 	2 	2 	1.0 	-1014.0 	[6, 0] 	0
main	163 	13 	 T1T2 	 0.0 	14 	4 	6 	0.0 	-1013.0 	19 	2 	4 	0.0 	-1018.0 	[6, 0] 	0
main	164 	13 	 T1T2 	 0.0 	14 	3 	3 	1.0 	-1013.0 	22 	2 	5 	0.0 	-1021.0 	[6, 0] 	0
main	165 	13 	 T1T2 	 0.0 	8 	4 	0 	0.0 	-1007.0 	18 	3 	3 	1.0 	-1017.0 	[6, 0] 	0
main	166 	13 	 T1T2 	 0.0 	8 	9 	5 	0.0 	-1007.0 	10 	5 	9 	0.0 	-1009.0 	[6, 0] 	0
main	167 	13 	 T1T2 	 0.0 	8 	6 	3 	0.0 	-1007.0 	9 	2 	2 	1.0 	-1008.0 	[6, 0] 	0
main	168 	13 	 T1T2 	 0.0 	8 	6 	5 	0.0 	-1007.0 	13 	5 	0 	0.0 	-1012.0 	[6, 0] 	0
main	169 	13 	 T1T2 	 0.0 	8 	7 	0 	0.0 	-1007.0 	16 	0 	4 	0.0 	-1015.0 	[6, 0] 	0
main	170 	13 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	16 	2 	4 	0.0 	-1015.0 	[6, 0] 	0
main	171 	13 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	8 	4 	0 	0.0 	-1007.0 	[6, 0] 	0
main	172 	13 	 T1T2 	 0.0 	6 	5 	1 	0.0 	-1005.0 	7 	1 	5 	0.0 	-1006.0 	[6, 0] 	0
main	173 	13 	 T1T2 	 0.0 	6 	7 	4 	0.0 	-1005.0 	11 	5 	7 	0.0 	-1010.0 	[6, 0] 	0
main	174 	13 	 T1T2 	 0.0 	6 	1 	8 	0.0 	-1005.0 	14 	8 	3 	0.0 	-1013.0 	[6, 0] 	0
main	175 	13 	 T1T2 	 0.0 	10 	5 	3 	0.0 	-1009.0 	20 	4 	4 	1.0 	-1019.0 	[6, 0] 	0
main	176 	13 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	12 	6 	3 	0.0 	-1011.0 	[6, 0] 	0
main	177 	13 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	11 	9 	9 	1.0 	-1010.0 	[6, 0] 	0
main	178 	13 	 T1T2 	 0.0 	10 	5 	5 	1.0 	-1009.0 	15 	8 	4 	0.0 	-1014.0 	[6, 0] 	0
main	179 	13 	 T1T2 	 0.0 	10 	3 	6 	0.0 	-1009.0 	18 	5 	7 	0.0 	-1017.0 	[6, 0] 	0
main	180 	13 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	24 	0 	0 	1.0 	-1023.0 	[-2, 0] 	0
main	181 	13 	 T1T2 	 0.0 	14 	9 	7 	0.0 	-1013.0 	16 	0 	9 	0.0 	-1015.0 	[-2, 0] 	0
main	182 	13 	 T1T2 	 0.0 	14 	7 	6 	0.0 	-1013.0 	15 	6 	7 	0.0 	-1014.0 	[-2, 0] 	0
main	183 	13 	 T1T2 	 0.0 	14 	9 	9 	1.0 	-1013.0 	19 	8 	8 	1.0 	-1018.0 	[-2, 0] 	0
main	184 	13 	 T1T2 	 0.0 	14 	8 	8 	1.0 	-1013.0 	22 	1 	1 	1.0 	-1021.0 	[-2, 0] 	0
main	185 	13 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	18 	7 	1 	0.0 	-1017.0 	[-2, 0] 	0
